"m_id","from","to","dist","left","right"
1,100,101,12.59,22,
2,100,22,22.77,23,101
3,101,22,16,21,
4,101,21,17.96,,22
5,22,21,12.1,101,23
6,22,23,6.16,21,
7,21,23,8.82,24,22
8,24,23,8.96,25,21
9,21,24,7.23,42,23
10,25,24,19.6,23,26
11,25,23,13.05,,24
12,26,23,12.4,25,28
13,25,26,10.85,24,28
14,24,26,12.99,28,25
15,24,28,14.28,42,26
16,26,28,4.61,24,
17,24,29,19.86,,28
18,28,29,7.16,40,
20,42,24,17.61,28,21
21,42,21,20.82,24,
22,41,24,23.23,40,42
23,41,42,8.67,28,
24,28,42,25.67,24,41
25,28,41,25.7,42,40
26,28,40,19.8,41,29
27,40,41,7.72,,28
28,41,29,15.2,,40
29,40,39,11.83,41,
30,40,41,7.82,,39
31,29,40,15.9,28,37
32,40,37,15.18,,29
33,29,37,16.11,40,36
34,29,36,19.17,37,
35,37,36,5.64,38,29
36,38,37,5.07,36,
37,38,36,9.39,,37
38,38,40,14.34,,39
39,38,39,6.84,40,
